"Id" "Pop"
"172" "PMiGAP150" "cult_c"
"173" "PMiGAP214" "cult_c"
"174" "PMiGAP118" "cult_c"
"175" "PMiGAP277" "cult_c"
"176" "PMiGAP320" "cult_c"
"177" "PMiGAP242" "cult_c"
"178" "PMiGAP071" "cult_c"
"179" "PMiGAP149" "cult_c"
"180" "PMiGAP323" "cult_c"
"181" "PMiGAP157" "cult_c"
"182" "PMiGAP070" "cult_c"
"183" "PMiGAP196" "cult_c"
"184" "PMiGAP344" "cult_c"
"185" "PMiGAP259" "cult_c"
"186" "PMiGAP042" "cult_c"
"187" "PMiGAP121" "cult_c"
"188" "PMiGAP122" "cult_c"
"189" "PMiGAP345" "cult_c"
"190" "PMiGAP222" "cult_c"
"191" "PMiGAP285" "cult_c"
"192" "PMiGAP120" "cult_c"
"193" "PMiGAP291" "cult_c"
"194" "PMiGAP317" "cult_c"
"195" "PMiGAP173" "cult_c"
"196" "PMiGAP335" "cult_c"
"197" "PMiGAP305" "cult_c"
"198" "PMiGAP316" "cult_c"
"199" "PMiGAP106" "cult_c"
"200" "PMiGAP295" "cult_c"
"201" "PMiGAP234" "cult_c"
"202" "PMiGAP331" "cult_c"
"203" "PMiGAP340" "cult_c"
"204" "PMiGAP251" "cult_c"
"205" "PMiGAP136" "cult_c"
"206" "PMiGAP276" "cult_c"
"207" "PMiGAP049" "cult_c"
"208" "PMiGAP249" "cult_w"
"209" "PMiGAP306" "cult_w"
"210" "PMiGAP310" "cult_w"
"211" "PMiGAP226" "cult_w"
"212" "PMiGAP131" "cult_w"
"213" "PMiGAP159" "cult_w"
"214" "PMiGAP271" "cult_w"
"215" "PMiGAP254" "cult_w"
